# This is a continuation of trace file C:\Users\Asus\AppData\Local\1C\1cedtstart\projects\TrainingManagement\.metadata\trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2026-05-07 10:40:44.724
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:38.073 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 221 | Running com._1c.g5.v8.dt.internal.export.ExportOperation@4aca8a88 |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:38.105 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 221 | Computing platform XML files paths... |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:38.113 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Export paths computed: [C:\Users\Asus\AppData\Local\Temp\1cedt\ssh-9408\0\xml-inc-81731\CommonModules\WorkWithLessonsServerCall.xml, C:\Users\Asus\AppData\Local\Temp\1cedt\ssh-9408\0\xml-inc-81731\Documents\LessonCreationRequest\Ext\ManagerModule.bsl, C:\Users\Asus\AppData\Local\Temp\1cedt\ssh-9408\0\xml-inc-81731\DataProcessors\TeacherWorkspace\Forms\Form.xml] |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:38.113 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Incremental loading to infobase: [C:\Users\Asus\AppData\Local\Temp\1cedt\ssh-9408\0\xml-inc-81731\CommonModules\WorkWithLessonsServerCall.xml, C:\Users\Asus\AppData\Local\Temp\1cedt\ssh-9408\0\xml-inc-81731\Documents\LessonCreationRequest\Ext\ManagerModule.bsl, C:\Users\Asus\AppData\Local\Temp\1cedt\ssh-9408\0\xml-inc-81731\DataProcessors\TeacherWorkspace\Forms\Form.xml] |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:38.114 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Reusing alive cached designer agent connection for infobase TDM_25 from the pool |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:38.115 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Executing in existing designer session: Loading 3 configuration objects to infobase TDM_25 |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:38.118 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Sending to designer agent: config load-files --dir="xml-inc-81731" --archive="xml.zip" --no-check --list-file="xml-inc-81731\load.lst" --update-config-dump-info |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:39.112 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 221 | Updating database configuration of infobase TDM_25 |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:39.114 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Sending to designer agent: config update-db-cfg --prompt-confirmation --session-terminate="prompt" |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:40.215 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Incremental load finished: true |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:40.216 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Storing fresh configuration dump info file and generationId: source=C:\Users\Asus\AppData\Local\Temp\1cedt\ssh-9408\0\xml-inc-81731, target=Optional[com._1c.g5.v8.dt.internal.platform.services.core.infobases.sync.connections.StoringConfigDumpInfoOption@1fdd022], status=Status OK: unknown code=0 OK |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:40.220 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Reusing alive cached designer agent connection for infobase TDM_25 from the pool |
| Worker-12: Launching TrainingAndDevelopmentManagement Thin Client (17) | 2026-05-07 10:47:40.220 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | Retrieving data generation identifier from infobase TDM_25 configuration using existing designer session |
